,Tweets
10069,".@SenTedCruz doesn't have a clue about jobs in Pittsburghs. Hey, Texas dude, there aren't any steel mill jobs left in Pittsburgh. This is a high tech city whose citizens, rich and poor, want clean air. #ParisClimateAgreement https://t.co/jLviZOJAvK"
10070,Florida Senator @SenRickScott on Paris Climate Agreement: ’a bad deal for Americans’ https://t.co/BDfDdE37u4
10071,"Biden re-enters Paris Climate Agreement, which Ted Cruz criticized
https://t.co/dkd19qM6Q5"
10072,AOC lays into Ted Cruz after misleading tweet on Paris Climate Agreement #SmartNews  https://t.co/g1TkAiGqc8
10073,PEEING WHAT DOES HE THINK THE PARIS CLIMATE AGREEMENT IS https://t.co/NH31KH3Vcv
10074,The Paris climate agreement really has nothing to do with Paris.  You are either dumb as fuck or think your followers are dumb as fuck https://t.co/IMBB6CdryF
10075,"What is the Paris climate agreement and why is the US rejoining?
https://t.co/vfjGequT6y"
10076,"Check this out.  @Reynolds19Anne and @jjmartens7 congratulate @POTUS on re-joining #ParisClimateAgreement.  The future is looking much cleaner, brighter and fairer.  
https://t.co/KXgjIrG6pl"
10077,"Bidet &amp; Harris rejoin the Paris Climate  Agreement, shutdown the keystone pl, ultimately putting the American worker, American union worker, and lower American energy prices in peril and behind everyone else.   Hey, but Democratic ticket all the way!!  🤦🏽‍♀️"
10078,Omg never go full retard 😂😂 #TedCruz  #Republicans  #aoc #ParisClimateAgreement https://t.co/mhdQ4nlSQH
10079,"Seems like Donald Trump is tweeting fom Sen. Ted Cruz's account.

Paris Climate Agreement for the citizens of Paris it seems. https://t.co/kjs22MtFlb"
10080,The Biden Administration took an important step in our collective fight against climate change. We applaud the decision to re-enter the Paris Climate Agreement.
10081,@SenTedCruz A senator who don’t knows anything about the Paris Climate Agreement!!?? Really? And there are people who voted for you??
10082,"Arivu mani kulanthu.

This podiyan thinks the Paris Climate Agreement is about Paris.

Where did you get your education from?

Harvard? https://t.co/ZkHmUTBn51"
10083,"The only thing the  Paris Climate agreement does, is funnel money right back to the politicians. That’s all socialism and “saving the climate” is: a get rich scheme for the political elite.  😢 get ready for $5 or more for a gallon gas. Even Canada is pissed."
10084,breaking: this dumbfuck doesn’t know what the paris climate agreement is https://t.co/cCC7aLqhEt
10085,because the paris climate agreement.. is just about the citizens of paris.. literally how fucking dumb are you and yet you still somehow got elected https://t.co/F17k1OGPNf
10086,"@SenTedCruz You’re joking, right?! You don’t really think the Paris Climate Agreement is for the benefit of the citizens of Paris, do you?!"
10087,@SenTedCruz Resign! You don’t even know what the Paris Climate Agreement is!
10088,okay Ted definitely knows what the Paris Climate Agreement is but he ALSO knows that tweets like this use his platform and influence to spread misinformation and feed conspiracy theories among his constituents which will ✨get him elected again✨ https://t.co/9OghAORA7D
10089,@Fabrizio @ProjectLincoln @SenTedCruz @tedcruz The Paris climate agreement is named as such bc the countries signed the agreement in Paris.  It has nothing to do with Parisian citizens.
10090,"The best start of the new president of USA. Time to change is now.
Welcome to the Paris Climate Agreement ⁦@POTUS⁩ and all fellow citizens of USA. https://t.co/zzO92VeaU4"
10091,Does... Does he think the Paris Climate Agreement is for the benefit of exclusively citizens of Paris? https://t.co/IkUDaPcJNS
10092,You &amp; ted Cruz are really dumb huh? What good are American jobs if our planets dead along with us? #ClimateChangeIsReal #ParisClimateAgreement #ClimateCrisis https://t.co/N6IGFyxWmT
10093,@SenTedCruz did u even read the Paris climate agreement? Do you understand what it actually is?
10094,"Back in the WHO, back in the Paris Climate Agreement ANDDDD gluten free Oreos have arrived - a new day has dawned!!!"
10095,"@SenTedCruz I need you to answer this are you stupid enough to believe that is what the Paris Climate Agreement means, or do you think Americans are stupid enough that we believe it? It’s offensive either way but it matters which it is."
10096,"@KyleBakx @jkenney Paris Climate agreement? Or are you putting that on the kids again, so you can act like toddlers?"
10097,"@SenTedCruz @freshgardenlive Still peddling lies. The Paris climate agreement is about climate change, not about Paris. You continue to peddle fear, anger and hatred."
10098,"""Biden revokes Keystone XL permit in blow to Canada's oil sector"" :-) ""President Biden returns the US to the Paris climate agreement"" :-)"
10099,"@MarshaBlackburn @POTUS Renewable energy initiatives increase jobs and GDP. The Paris Climate Agreement is a win/win for the environment, the economy, and human security.  https://t.co/A7JtZGFk5m"
10100,"@jab0814 @tribelaw Hi Jo, 
A few things changed in less than 24 hours--take heart!  The US is back in the WHO and the Paris Climate Agreement.  It's a good start, though I recognize that executive orders are the easy part."
10101,The Paris climate agreement is about the people of Paris ... wow Ted.... thought you’d at least educate yourself before making a dumbass out of yourself ... https://t.co/YIzcKQb8Bw
10102,@Advil @realOBF As a citizen of pittsburgh I wanna say fuck trump and fuck cruz. We need environmental reform! We need the paris climate agreement.
10103,"@jkenney @POTUS You understand that continuing to burn fossil fuels, and the Paris climate agreement, which Canada is a part of, don't see eye to eye? Maybe you should have planned for this, and stopped exporting tar sands back when the Standing Rock protests were happening."
10104,@MarshaBlackburn @POTUS Do. Your. Research. Renewable energy creates higher paying jobs for blue collar workers. #ParisClimateAgreement https://t.co/LFprH5Ctub
10105,"@SenTedCruz I can’t decide if you’re really this dumb, or if you’re just lying to your constituents again. The Paris Climate Agreement has as much to do with Paris Idaho as it does Paris France."
10106,@rinhui_ You like the Paris climate agreement? Tell me who was in Paris then 😤😤😤
10107,Do you- do you realize what the Paris Climate Agreement actually entails? https://t.co/Ps0G7L3wPH
10108,@jaketapper Does he even know Paris climate agreement is not the people who live in Paris? Like wtf man. Google the shit before you post. You have the phone. Am sure it has google
10109,#Amen #PresidentBiden #VicePresidentHarris #BidenCares #ParisClimateAgreement https://t.co/DDCURifB64
10110,bruhh im yelling ted cruz is really that fucking stupid 😭😭 or does he think his followers are stupid enough to believe that the paris climate agreement is just for people living in paris im 💀💀💀💀💀💀💀
10111,AOC lays into Ted Cruz after misleading tweet on Paris Climate Agreement #SmartNews stuck on stupid the elevator does not get to the top move to Cuba desgraciado castrista  https://t.co/RN2J4cKpjC
10112,Who's gonna tell him that the Paris Climate Agreement is not about Parisians 🤣 https://t.co/ev86kTTkzI
10113,@SenTedCruz Stop!!  The Paris Climate Agreement has nothing to do with Parisian citizens.  It is simply the city where the countries met to come to the agreement.  Stop treating your followers like they are idiots.
10114,She Always Has Time: AOC Checks Bonehead Texas Senator Ted Cruz For Idiotic Paris Climate Agreement Tweet https://t.co/x9pWqm21EY
10115,You colossal asshat. The “citizens of Paris” have nothing to do with the Paris Climate Agreement. Please crawl back into your clown car. https://t.co/iIZkwb4qit
10116,@SenTedCruz This has to be a joke. There’s no way you actually think the Paris Climate Agreement is about Paris... 🤦🏽‍♀️
10117,@laurenboebert Pretty sure he doesn’t need your input on how to fix the mess Trump made. I’ll give you a dollar if you can tell us what the Paris Climate Agreement entails without Google.
10118,"Biden's plan to rejoin the Paris Climate Agreement hurts the U.S. and benefits China.
It will depress America's economy by starving it of abundant, affordable, reliable energy from fossil fuels at the same time that China is burning more and more coal and oil.
Thanks, China Joe."
10119,"Ted Cruz under fire for saying Biden prioritizing 'citizens of Paris' by rejoining climate deal https://t.co/oI2GPYzKq9 via @Yahoo 

This is a play to @tedcruz base because it mentions Paris Climate agreement the dumbass Texas constituents think it is about Paris
😆"
10120,CARB Executive Officer Richard Corey’s responds to @POTUS rejoining the #ParisClimateAgreement. https://t.co/e4G9fO9mJ9
10121,@SenTedCruz Wow! You don’t even know what the Paris Climate Agreement is and you are tweeting opposition to it? Not surprising.
10122,"Rejoining the #ParisClimateAgreement is a key first step.👏🏿

Now, it is critical that the US and @POTUS also commit to helping people in low-income communities who have done the least to cause the climate change emergency, and yet suffer the most. https://t.co/CtOaHOZOJ5"
10123,@SenTedCruz For those of us who have studied the Paris Climate Agreement it is clear that you have NOT.....you continue to be an embarrassment to those of us Texans who simply seek the truth.
10124,I'm not sure The Paris Climate Agreement is what he thinks it is... https://t.co/qkY514qzJT
10125,"I guess for @tedcruz ignorance is bliss !
#ParisClimateAgreement https://t.co/56gxSMEgon"
10126,Can someone educate this Senator on the Paris Climate Agreement? https://t.co/Q7rdtIICv3
10127,somebody should tell Ted Cruz what the Paris climate agreement is because it doesn’t look like he knows https://t.co/fKwHfcGiiY
10128,What is the Paris climate agreement and why is the US rejoining? - BBC News https://t.co/qSqnbIoETW
10129,"@SenTedCruz I am amazed at the level of ignorance displayed in this Tweet.  It is called the Paris Climate Agreement because it was reached in Paris, not because it is to benefit Parisians only.  It is for the benefit of all the inhabitants of the planet. M"
10130,"@SenTedCruz My God! Are you truly that dim? Paris Climate Agreement is about Parisians? One, climate change is about everyone. Two, it was signed in Paris, hence the name. Either you are stupid or you think your voters are. I think you undermine the intelligence of the American people."
10131,Environmental activist Greta Thunberg with her response to the US rejoining the Paris Climate Agreement. @KDKA https://t.co/drMaTj2cAh
10132,?????? What do you think the Paris climate agreement does exactly https://t.co/IpsKD8zsOo
10133,What exactly did the Paris climate agreement even do?
10134,"With the Biden admin rejoining the Paris Climate Agreement, we're proud to share all we've accomplished over the last few years: adopting electric vehicles, implementing clean energy solutions, &amp; building more sustainably, just to name a few. Read more: https://t.co/bANTfUcnZV https://t.co/dIklbgGq88"
10135,"@AOC I am not a US Senator, and I know the ""Paris Climate Agreement"" was first celebrated in that city that's why it was named like that.
It has NOTHING to do with its citizens. 
@aoc @SenTedCruz"
10136,It’s not hard to read into what the actual Paris Climate Agreement is Ted. https://t.co/oD4obeoMIP
10137,"wtf does the paris climate agreement have to do with the citizens 😭😭 we've been naming agreements, treaties, conventions, etc after the place they happen in for centuries have we not https://t.co/Ae7iYjjb0w"
10138,Imagine thinking the Paris Climate Agreement is about the citizens of Paris....lmao @ Ted Cruz
10139,"@CoblinTheGoblin I mean he did sign a bunch of executive orders to undo a bunch of Trump's and had America rejoin the Paris Climate Agreement and the World Health Organization.

Healthcare for all and an actual 2000 dollar stimulus would be nice tho"
10140,"By opposing the Paris Climate Agreement, Traitor Ted has been supporting the views of Saudi Arabia's MbS (the killer of innocent American journalist Jamal Khashoggi). Do we need Russian stooges like Ted in US Senate?
@GOP @LeaderMcConnell https://t.co/AVUv7TWZFA"
10141,The Paris Climate Agreement has nothing to do with French people you actual idiot https://t.co/6hjtqHLFmW
10142,"Let's be clear, the Paris Climate agreement is about climate change / global warming and reduction of greenhouse gasses with participation of about 196 countries. The meeting was held in Paris not for the citizens of Paris as his tweet would have his followers believe. https://t.co/DqQhMyvBaj"
10143,The US is set to rejoin the Paris climate agreement. Here’s what you need to know https://t.co/rBuDNYmIcE
10144,@SenTedCruz it’s called the paris climate agreement because it was signed in paris. it’s got nothing to do with its citizens...please educate yourself before tweeting some bullshit like this
10145,@SenTedCruz Do you not know it is called the Paris Climate Agreement because it was signed in Paris!  It’s not about their citizens!  You are what is wrong with America
10146,@SenTedCruz Maybe read the Paris climate agreement first before commenting Ted. It benefits the world! If we don’t start to take real action Texas will cease to be a habitable state.
10147,Imagine thinking the Paris climate agreement is about the citizens of Paris https://t.co/z9QL07LI4E
10148,"We applaud @POTUS for recommitting to the Paris Climate Agreement and look forward to working with the Administration to support bold actions that deepen our care for the Earth and for one another. 

Read more: https://t.co/4u0xb9JqGY"
10149,"Cruz really be out here like: Can I go back to lying and misleading already? Paris climate agreement is something that shows you care about everyone, Pittsburgh definitely included."
10150,@joelymack Is the Paris Climate Agreement where the Parisians get together to discuss the weather they want in the coming weeks? Thick as mince.
10151,Oui! 👏 Welcome back 🇺🇸 #ParisClimateAgreement 🌎#ClimateAmbition @ClimateEnvoy @Total on the road to #NetZero https://t.co/kONQmUdBox
10152,Omg does this thicko actually believe that the Paris Climate Agreement is about the climate in Paris??? Can somebody please explain it to him...very slowly. 🙄 https://t.co/YPzrkhrEsF
10153,"@gmbutts Paris climate agreement is the gospel. Gerald Butts a priest. Oil the demon. Thunberg the Pope.

The end of the world is nigh! Save yourself, reject the devil, join the church of climate change, pay the carbon tax...fear not, what you pay will return to you 10 fold.

Hallelujah!"
10154,"He is an embarrassment to Texas &amp; Texans.😒
#TurnTexasBlue #ParisClimateAgreement #ResignTedCruz https://t.co/aRO26pgFMF"
10155,When you don't know that the Paris Climate Agreement was just signed in Paris and that's why they called it that. https://t.co/lT7Nh6ZyXM https://t.co/qNV7RKSleL
10156,"We're back in the WHO and the Paris climate agreement, and I can't for the life of me understand why we ever left.

There was no good reason to do so and you can't change my mind."
10157,Sen. Insurrectionist thinks the Oslo Accords were about Norway. Does this surprise anyone? #ParisClimateAgreement https://t.co/9RfpctULcI
10158,".@SenTedCruz blasts @JoeBiden's decision to rejoin the Paris Climate Agreement after former President Donald Trump pulled the U.S. from the pact.

“This agreement will do little to affect the climate and will harm the livelihoods of Americans.”
https://t.co/ulZaph3hUg"
10159,We’re back in the world health organization and the Paris climate agreement already. Things are finally looking up. #BidenAdministration #BidenHarris2020
10160,"A seesaw of #ExecutiveOrders, implementing and reversing globally significant policies every four year (#ParisClimateAgreement etc.). Is this how a participatory #democracy should function? We must constitutionally curb executive power in the #UnitedStates."
10161,@RichardDawkins What do you call those who think the 2016 Paris climate agreement actually accomplished anything?
10162,"$OPTT 4.05!

ALT-ENERGY is hot w/ Biden taking office
- resigns Paris climate agreement

Looks to be breaking out here (Bull flag break on the weekly)

Pivot: 4.50

Weekly Showing: 10.97 https://t.co/F9YLO50Dz6"
10163,I am not shocked that @SenTedCruz doesn’t know why the Paris Climate Agreement is named.  He’s an elected Senator of one of the largest states in America.  Let that sink in. https://t.co/NsEmFyushS
10164,Ted Cruz thinks the Paris climate agreement was ... representing the views of the citizens of Paris 😭😭😭 bruhhh that’s the funniest shit I’ve seen
10165,@KansasGOP @KCStar @RepDavids Quit with the lies!! And BS. The Paris Climate agreement is good for our Nation. We r the leader in wind energy so ur Trump rhetoric is just that crap!! #DoYourJob #GOPComplicitTraitors #KansasIsDone
10166,"@MarshaBlackburn @POTUS Just because you tweet this doesn't mean it's a fact. Well, I guess it's a fact that @POTUS re-joined the Paris Climate Agreement. Everything else you just said? Incorrect."
10167,"You really are dumb as sh*t Ted, Paris Climate agreement has Nottingham to do with the city of Paris🔥 https://t.co/aTbY1sgGO5"
10168,"@SenTedCruz Did the Louisiana Purchase include just Louisiana? Asking for a Parisian friend. 
#ParisClimateAgreement 
#TedCruzIsATraitor"
10169,AOC Brutally Mocks Ted Cruz for Searingly Dumb Paris Climate Agreement Tweet - The Daily Beast https://t.co/3HJtn0oNKT
10170,@TimRunsHisMouth First Ted Cruz on the whole Paris Climate agreement for Paris citizens and now you on this. Trump supports are idiots. Hmm maybe because were in a pandemic?? Oh and all the military and guard rails are there due to the Trump supports that broke into the Capitol.. 🤦🏻‍♂️
10171,"@SenTedCruz So in the years we've been out of the Paris Climate Agreement, the jobs of the citizens of Pittsburgh must have been booming. Only they weren't, were they... https://t.co/Q72xBOueJs"
10172,P.S I will be the first to admit that I have done very little research on the topic so I am in no way super knowledgeable but this literally showed up first when I did a quick google search of “Paris Climate Agreement”
10173,@tedcruz @Sethrogen Ted feeling like an idiot again so he’s trying to distract from that stupid tweet about the Paris climate agreement 😂
10174,"@SenTedCruz you are aware that google is free, correct? and you can look up whatever you want, including what the paris climate agreement actually is?"
10175,I had to see it for myself. #ParisClimateAgreement #CruzResign https://t.co/PIJZHIK2gM
10176,"@kittylover1313 @nytimes Yes, thank you. This pleases me. 

Rejoining the WHO during a global pandemic and the Paris Climate Agreement as we face significant climate challenges — is the right (and smart) thing to do."
10177,"@SenTedCruz - in Europe called ""No Brains"" - believes the Paris Climate Agreement is made for the citizens of Paris.

@GretaThunberg is tolerant and calls the Agreement 'the Pittsburgh Agreement'.

Gold to Greta!

🇸🇪🏆🇸🇪🏆🇸🇪 https://t.co/DJO3PjSGI3 https://t.co/JVkE6TI3k4"
10178,"@AndrewFlett5 @RichardDawkins Obvs Cruz knows better, but wrote “By rejoining the Paris Climate Agreement, President Biden indicates he’s more interested in the views of the citizens of Paris than in the jobs of the citizens of Pittsburgh"" as an easily repeatable, inflammatory soundbite. Trump playbook."
10179,"Ted Cruz can't possibly think the Paris climate agreement is actually about Paris, I am having a hard time coping with this"
10180,"The U.S. has rejoined the #ParisClimateAgreement! We are proud to be one of the earliest members of #WeAreStillIn, a coalition formed in in 2017 to continue fighting #climatechange. #WeAreBackIn

See how we live #sustainable every day: https://t.co/nUjAouvN9a https://t.co/t4Ok2mOgN9"
10181,"I don't know who needs to hear this, but Ted Cruz doesn't actually think the Paris Climate Agreement is about Paris. 

He was using alliteration as a rhetorical device."
10182,"I also posted this on Facebook because that’s where I have been seeing most of the “Paris climate agreement only helps Paris” but here’s some info to read before you make claims that make you look idiotic. 

Here’s the website too https://t.co/3lwNnTYguU https://t.co/BxvZo2vBmx"
10183,"With @POTUS rejoining the Paris Climate Agreement &amp; having shared last month that @Chevron joined the @OGCInews member companies in supporting it, make sure to sign up for Chevron's monthly human energy newsletter&gt; https://t.co/BxsqtMrWYr 

#aussiemates https://t.co/WtYIyrqNds"
10184,@SenTedCruz You do know that the Paris climate agreement wasnt a bilateral agreement between the US and the city of Paris yes?
10185,"@SenTedCruz Please inform yourself!!! ...Or are you just exploiting the people out there who don’t know what the Paris Climate Agreement is all about? People, inform yourselves- please!!"
10186,Ted Cruz knows what the Paris Climate Agreement is. He's just taking up the Twitter torch of working up a frenzy in the people who support him (Trumpers) and are to ill-informed to know what the Agreement actually is and the good it does. He loves the short-sighted and gullible. https://t.co/5WdulyWrzm
10187,@SenTedCruz You do know it’s called The Paris Climate Agreement because you idiot it was signed off there it is for the world 🌎
10188,"@SenTedCruz My god, man. You shouldn’t hold office. You should be handing out discount ice cream coupons at the carnival. #TedCruzIsATraitor #ParisAgreement #ParisClimateAgreement #CruzResign #TedCoup #GOPSeditiousTraitors #GOPComplicitTraitors #IdiotsForTrump"
10189,"@SenTedCruz Are you really this ⬆️dumb?
Do you actually believe that the Paris Climate Agreement is about the views of the citizens of Paris? 🤦‍♀️"
10190,"This imbecile thinks the Paris Climate agreement is about PARIS 😭 this is just sad, lol. https://t.co/eLUoV6o0et"
10191,"The Paris Climate Agreement, which is what the hit Netflix series Emily in Paris is based on, marks the yearly convening of Parisians wherein they yell their opinions about the weather at world leaders for 6-8 straight hours (no bathroom breaks). We must hear them out https://t.co/FrroEQY6AT"
10192,"@BettinaSRoss1 He literally didn’t say that. He said “views” of people is Paris. 

This is worth a watch, the Paris Climate Agreement isn’t doing what needs to be done for the climate anyway. 

https://t.co/gE2Pzkiu4R"
10193,@SenTedCruz You attended Harvard? I’m confused. Do you not know know what the Paris Climate Agreement is about?
10194,"The #SeditiousGOP thinks the Paris Climate Agreement is about Paris! 

@tedcruz #moron #ResignTedCruz https://t.co/QyoQ2H8DsL"
10195,"@tedcruz is pissed off about The Paris Climate Agreement, and the IDIOT doesn't even know why, because he doesn't even know what it is

This....Ladies and Gentlemen is a US Senator in Texas that helped incite violence and supported a coup,... an insurrection that led to deaths"
10196,Sir this was named the Paris Climate Agreement because it was signed IN Paris. You dumbass. https://t.co/oambCATEVn
10197,"“Quick question: do you also believe the Geneva Convention was about the views of the citizens of Geneva?”

Cruz Roasted For Tweet That Appears To Reveal His Ignorance About The Paris Climate Agreement https://t.co/chc7lNF5QB via @TPM"
10198,"@SenTedCruz What the hell? Even I know what the Paris Climate Agreement is, and I am a high schooler. You are an elected official to the senate and you think the Paris Climate Agreement is about the citizens of Paris??? RESIGN FOR AMERICANS PLEASE!"
10199,"@SenTedCruz Look at my profile photo. Just take a look at it. And while you're looking at it, think to yourself ""this person knows more about the Paris Climate Agreement than Ted Cruz, an elected US Senator"""
10200,"✅ Rejoin the WHO &amp; Paris Climate Agreement
✅ End the Muslim ban
✅ Halt border wall construction
✅ Enact a national strategy for combating COVID-19

New Yorkers can breathe a little easier today knowing that leadership has been restored to the White House."
10201,Rejoining the Paris Climate Agreement hurts America jobs and small businesses. That's why President Trump pulled out. HE WAS THINKING OF AMERICA. Joe isn't thinking wisely but then he is suffering  from dementia. https://t.co/l1TfshXhIY
10202,The Paris climate agreement is a joke and the US rejoining it is nothing to celebrate just as them leaving it was a non-issue.
10203,this is so fucking funny to me like..is ted cruz ok? does he even know what the paris climate agreement is?? bruv https://t.co/3MQz4TXaJX
10204,"oh ted.... dear ted. the agreement is titled ""paris climate agreement"" because it was first signed in paris. the document includes almost 200 countries.

i'm not sure how or why you ever got the chance to sit on the senate floor. https://t.co/eL2O5K5sWA"
10205,"President @JoeBiden Rejoins #ParisClimateAgreement, Halts Arctic Oil Leasing https://t.co/BBstuvwxXz 
@morgfair @LarsJohanL @iron_light @katesandison @susan_blakely @MarkRuffalo @mikehudema @NancySinatra @arikring @AllanMargolin @iron_light @theresamax @AuntCole22 @BarryMotivates"
10206,do you...think...the paris climate agreement...is...all about...paris’ climate...what... https://t.co/EXnMWsp4ro
10207,@SenTedCruz Ted I’m not sure you know what the Paris climate agreement is which is worrying considering your title. . .
10208,Ted Cruz tweet is clueless.  The Paris Climate Agreement isn’t about protecting the citizens of Paris. https://t.co/27EwKTXPVL
10209,"This man really feeds off of people that are uneducated...instead of being manipulative, maybe explain to the American people that you “love” so much what the Paris Climate Agreement actually is https://t.co/PAI0Lv5F1K"
10210,"HOW STUPID CAN THESE PEOPLE BE? THE PARIS CLIMATE AGREEMENT WAS NAMED SO BECAUSE IT WAS SIGNED IN #PARIS, NOT BECAUSE IT IS THE VIEW OF THE ‘CITIZENS’ OF PARIS. FYI, PARIS DOES NOT HAVE CITIZENS, #FRANCE DOES. PARIS JUST HAS RESIDENTS.

#ParisClimateAgreement

#StupidTedCruz https://t.co/YssBEgDoku"
10211,Biden has already lifted the Muslim ban and signed the executive order to rejoin the Paris climate agreement. Along with about 13 other executive orders I couldn’t be more happy jesus christ.
10212,@SenTedCruz Do you have even the most basic understanding of what the Paris Climate Agreement is??? Sit down.
10213,@JenniferJJacobs @DannyGroner @nytimes @washingtonpost Isn't this against the Paris Climate Agreement?!
10214,"So. Ted Cruz thinks we are all ignorant as the #trumpsters. We know the Paris Climate Agreement is not about the citizens in Paris. And you did not give a rat's ass about the citizen's in Pittsburgh, or the entire state of PA. Remember you wanted their votes not to count? #idiot https://t.co/RSe4XxI7ni"
10215,@GVLNS_Pradeep So trump left the Paris climate agreement and Ted Cruz said why join a Paris climate treaty and what about jobs in Pittsburgh
10216,"@GeorgeTakei Well, this is coming from an ""educated"" man who thinks the Paris Climate Agreement is about the weather in Paris. So.....there's that!"
10217,"The Paris Climate Agreement: Holding ourselves and other nations voluntarily accountable for our future since 2016 (or 2016-2017, 2021-present—in some places)"
10218,"Biden has already signed an exec order rejoining the Paris climate agreement. A nice start, but we're so far behind on the climate change battle now, we'll have to take much stronger steps. How can we win this battle? Nero's Fiddle podcast takes the long view."
10219,"@GOPChairwoman @JoeBiden ended 42K jobs (direct &amp; indirect) in less than a couple hours in Office by canceling the Keystone XL Permit. The fall out of the Paris Climate Agreement will be much worse over time: anywhere from 2.3 (""best"" case per NERA) to 2.7 million jobs (""worst"" case per NERA)."
10220,@tedcruz @Sethrogen Teddy just got roasted like a duck on twitter by Seth Rogan regarding the Paris climate agreement when you tried to over turned the will of the people in Pa. oh have the ethics committee dealt with you and Josh yet ??because really dude right now u are a man without a Country 😅
10221,@SenTedCruz Hmmmm.....seems Teddy doesn't understand the Paris Climate Agreement isn't about climate in Paris...........or even France.  #BidenWonLandslide2020
10222,"You GO AOC!

AOC smacks down Ted Cruz after he says Paris Climate Agreement is about the ‘citizens of Paris’ https://t.co/C2dJcgWZkn"
10223,@SenTedCruz By producing tweets like this Senator Cruz indicates that he's more interested in POKING the President than in DOING HIS JOB. Rejoining the Paris Climate Agreement was the right thing to do. Cruz is more interested in promoting lies about election fraud than doing the right thing
10224,"@SenTedCruz You realize that the Paris Climate Agreement benefits Americans too, right? And got its name because the agreement was signed *in* Paris, France. If it had been signed in Dallas, it would be called the Dallas Climate Agreement...
Also, you tried to overthrow the government so..."
10225,@ Paris Climate Agreement https://t.co/7Z7GIiAyaL
10226,"It's good to have the adults back in charge again. 

#ClimateAction  #ParisClimateAgreement https://t.co/HXpWEsPfEd"
10227,"#TedCruzIsTheTypeOfGuyWho thinks the Paris Climate Agreement is to help Paris, the Treaty of Versailles saved a palace, and the Treaty of Paris saved Paris and did not do anything like establish the United States. @tedcruz
#ParisClimateAgreement #CruzResign"
10228,"@SenTedCruz Are you really that dumb ?

The Paris Climate Agreement is a global compact to address #climatechange, one of the top threat to American security per the Pentagon 

It isn’t just for Paris 

#InsurrectionTed"
10229,@SenTedCruz I'm not sure you know what the Paris climate agreement is
10230,AOC smacks down Ted Cruz after he says Paris Climate Agreement is about the ‘citizens of Paris’ https://t.co/HXd6mNmGm0
10231,"@YossiGestetner @JackPosobiec @GlennKesslerWP When I searched Google on #ParisClimateAgreement , I clicked on link to story from @WhiteHouse on what #DonaldTrump had done. This is result of that click... see photo... seems they are censoring info here, too. #censorship https://t.co/zWgiK469ya"
10232,LOL. The misinformation campaign is unreal. The Paris Climate Agreement has nothing to do with the views of Parisians... https://t.co/1yrbsCeNZ4
10233,We are so sorry @SenTedCruz is such an idiot. Educated Americans who are rational are pleased to rejoin the Paris Climate Agreement. https://t.co/vmAZcj5HJ4
10234,What the actual fuck are you even saying? #ParisClimateAgreement #TedCruzIsATraitor https://t.co/uIIYGvs9gb
10235,I just found out Ted Cruz thinks the Paris Climate Agreement is about the citizens of Paris. https://t.co/4C9z2QGzUW
10236,"First, Ted Cruz helped fuel the Capitol insurrection by objecting to Biden’s victory, &amp; now he’s against the US rejoining the Paris Climate Agreement. Apparently he believes climate change is a hoax! Why the hell is he still a US senator?? #CruzResign"
10237,@SenTedCruz You obviously don't understand what Paris Climate Agreement stands for. What is your literacy level again?
10238,Alexandria Ocasio-Cortez Takes on Ted Cruz's Paris Climate Agreement Comments https://t.co/qn38qJvcjB
10239,@GramboJones Imagine thinking the Paris climate agreement is solely beneficial to Paris 🤣
10240,@SenTedCruz Please tell me you are joking. One person can not be that dumb to believe that the “Paris Climate Agreement” is about the people living in Paris.
10241,@SenTedCruz Once again you prove just how disgustingly disingenuous or truly stupid you are. The Paris Climate Agreement is about saving the entire planet. You will not have a a healthy economy on a dying planet. The earth will remain. It is humanity who will be gone. Spend that.
10242,"@GOPChairwoman Here we go. 
1. Keystone XL: Short term fix to long term issue. Bad for environment. 
2. Paris Climate Agreement: A healthy coalition of allied nations. Needs to crack down on developing nations. 
3. American Unions: Biden/Dems are pro union. 
4. Energy Prices: Oil surplus."
10243,@SenTedCruz Bro are you really that fucking stupid? Paris Climate Agreement is an international treaty getting its name only from. just. being. signed. in. paris. #howareyouSOBADatyourjob
10244,@springsteenmp3 the Paris climate agreement is a worldwide treaty to help fight against global warming and climate change
10245,Hahahahahaha @AOC has murdered @tedcruz 72 times with facts so far. Id say 2021 has started really well. #tedcruzisanidiot #ParisClimateAgreement https://t.co/JSwWHWOnmH
10246,does he......even know what the paris climate agreement is? https://t.co/u32ljO08Uw
10247,"Why are American conservatives so thick?

I've seen someone try and dunk on Biden for having 0 crowd for his inauguration and that absolute roaster Ted Cruz not understand why the Paris Climate agreement is so named.

They're not even funny, or crazy, just painfully, achingly DIM"
10248,"""it called Paris climate agreement so it only help Paris!"" https://t.co/7suPyzHWzV"
10249,"The Paris Climate Agreement is about Parisians, is it? Must be that the Treaty of Paris (1783) was also in the sole interest of Parisians despite ending the Revolutionary War. https://t.co/N4wROhENzn"
10250,I say Screw #ParisClimateAgreement #AmericaFirst #realDonaldTrump @POTUS45
10251,My favorite part of this dumbass tweet is THE CITY OF PITTSBURGH COMMITTED TO THE PARIS CLIMATE AGREEMENT WHEN TRUMP PULLED OUT. https://t.co/jUG9ioA6dU
10252,I’m so confused 🤷🏾‍♀️. What does he think the Paris climate agreement is about? Lord help us. https://t.co/QE3byZTRzd
